id_anuncio,titulo_anuncio,provincia,municipio,tamano_m2,habitaciones,banos,planta,tiene_ascensor,tiene_terraza,tiene_trastero,calefaccion,estado,url_foto,precio_actual,precio_anterior,bajada_precio,precio_m2,tiene_imagen,path_imagen
100000,Piso en venta en El Bercial,Madrid,Pinto,164,5,3,Bajo,False,True,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/3359.jpg,329975,341310,11335,2012.0426829268292,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_0.jpg
100001,Piso en venta en La Fortuna,Madrid,Leganés,107,2,3,5,False,False,False,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/9592.jpg,250656,262736,12080,2342.5794392523367,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_1.jpg
100002,Piso en venta en Sur,Madrid,Móstoles,116,4,3,5,False,True,True,Central,Buen estado,https://img-portal-inmo.com/fotos/8689.jpg,250263,283769,33506,2157.439655172414,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_2.jpg
100003,Piso en venta en La Fortuna,Madrid,Leganés,175,1,1,3,True,True,False,Central,Buen estado,https://img-portal-inmo.com/fotos/6499.jpg,418130,460247,42117,2389.3142857142857,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_3.jpg
100004,Piso en venta en La Fortuna,Madrid,Leganés,57,3,3,5,True,True,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/5551.jpg,166931,181855,14924,2928.6140350877195,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_4.jpg
100005,Piso en venta en Centro,Madrid,Alcorcón,96,3,3,6,True,False,True,Central,Obra nueva,https://img-portal-inmo.com/fotos/1776.jpg,217064,221595,4531,2261.0833333333335,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_5.jpg
100006,Piso en venta en Sur,Madrid,Leganés,106,1,1,3,True,True,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/8710.jpg,279562,293875,14313,2637.377358490566,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_6.jpg
100007,Piso en venta en Sur,Madrid,Leganés,163,1,1,2,True,False,True,No tiene,Buen estado,https://img-portal-inmo.com/fotos/2321.jpg,390161,409068,18907,2393.6257668711655,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_7.jpg
100008,Piso en venta en Sur,Madrid,Móstoles,153,5,2,3,False,False,True,Central,A reformar,https://img-portal-inmo.com/fotos/8784.jpg,330393,331676,1283,2159.4313725490197,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_8.jpg
100009,Piso en venta en La Fortuna,Madrid,Leganés,52,1,3,Bajo,True,False,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/6829.jpg,102137,116375,14238,1964.173076923077,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_9.jpg
100010,Piso en venta en El Bercial,Madrid,Fuenlabrada,139,2,2,2,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/9525.jpg,351646,369138,17492,2529.827338129496,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_10.jpg
100011,Piso en venta en Sur,Madrid,Pinto,169,5,2,6,False,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/6510.jpg,361369,366934,5565,2138.2781065088757,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_11.jpg
100012,Piso en venta en Loranca,Madrid,Móstoles,97,4,1,5,True,False,True,Central,Buen estado,https://img-portal-inmo.com/fotos/9537.jpg,235166,252590,17424,2424.3917525773195,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_12.jpg
100013,Piso en venta en La Fortuna,Madrid,Pinto,107,5,1,Bajo,True,False,True,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/3184.jpg,239945,256094,16149,2242.4766355140187,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_13.jpg
100014,Piso en venta en Centro,Madrid,Getafe,139,5,2,3,True,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/3698.jpg,314253,354322,40069,2260.8129496402876,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_14.jpg
100015,Piso en venta en El Bercial,Madrid,Móstoles,125,3,2,3,False,True,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/7304.jpg,286173,320506,34333,2289.384,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_15.jpg
100016,Piso en venta en Loranca,Madrid,Leganés,101,1,2,4,False,True,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/8440.jpg,207928,232306,24378,2058.6930693069307,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_16.jpg
100017,Piso en venta en Loranca,Madrid,Fuenlabrada,111,2,2,1,False,False,False,Eléctrica,Obra nueva,https://img-portal-inmo.com/fotos/5081.jpg,241886,275711,33825,2179.153153153153,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_17.jpg
100018,Piso en venta en Centro,Madrid,Pinto,90,1,3,6,False,True,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/2111.jpg,235357,248579,13222,2615.0777777777776,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_18.jpg
100019,Piso en venta en El Bercial,Madrid,Móstoles,138,3,2,6,True,True,True,Central,Buen estado,https://img-portal-inmo.com/fotos/6329.jpg,337020,366820,29800,2442.1739130434785,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_19.jpg
100020,Piso en venta en La Fortuna,Madrid,Fuenlabrada,157,1,1,5,True,False,True,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/5210.jpg,342275,376650,34375,2180.0955414012737,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_20.jpg
100021,Piso en venta en Norte,Madrid,Pinto,137,2,2,Ático,False,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/8180.jpg,310491,332482,21991,2266.3576642335765,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_21.jpg
100022,Piso en venta en El Bercial,Madrid,Getafe,93,1,2,1,False,False,False,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/2471.jpg,218111,226089,7978,2345.2795698924733,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_22.jpg
100023,Piso en venta en Centro,Madrid,Parla,67,3,1,2,True,False,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/5077.jpg,159713,181250,21537,2383.776119402985,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_23.jpg
100024,Piso en venta en Loranca,Madrid,Getafe,106,2,2,Bajo,True,False,False,Central,Buen estado,https://img-portal-inmo.com/fotos/4752.jpg,260979,296239,35260,2462.066037735849,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_24.jpg
100025,Piso en venta en La Fortuna,Madrid,Parla,55,1,1,Ático,True,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/1841.jpg,150104,167389,17285,2729.163636363636,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_25.jpg
100026,Piso en venta en El Bercial,Madrid,Alcorcón,117,3,3,1,False,True,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/8266.jpg,268866,282824,13958,2298.0,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_26.jpg
100027,Piso en venta en Norte,Madrid,Parla,162,3,3,2,True,True,False,Central,A reformar,https://img-portal-inmo.com/fotos/8668.jpg,377181,377342,161,2328.277777777778,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_27.jpg
100028,Piso en venta en Norte,Madrid,Alcorcón,132,5,1,3,False,True,True,Central,A reformar,https://img-portal-inmo.com/fotos/6100.jpg,294994,316729,21735,2234.8030303030305,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_28.jpg
100029,Piso en venta en Sur,Madrid,Móstoles,133,2,3,1,False,True,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/2239.jpg,300558,324208,23650,2259.8345864661655,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_29.jpg
100030,Piso en venta en Sur,Madrid,Alcorcón,99,2,3,Bajo,False,True,False,Gas Natural,Obra nueva,https://img-portal-inmo.com/fotos/2572.jpg,215146,230893,15747,2173.191919191919,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_30.jpg
100031,Piso en venta en Centro,Madrid,Fuenlabrada,53,1,3,Ático,True,False,False,Central,A reformar,https://img-portal-inmo.com/fotos/2796.jpg,128058,129911,1853,2416.188679245283,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_31.jpg
100032,Piso en venta en El Bercial,Madrid,Alcorcón,56,5,1,4,False,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/9246.jpg,139497,155983,16486,2491.0178571428573,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_32.jpg
100033,Piso en venta en El Bercial,Madrid,Fuenlabrada,157,2,2,6,True,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/1077.jpg,343011,370390,27379,2184.7834394904457,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_33.jpg
100034,Piso en venta en Loranca,Madrid,Pinto,52,3,3,Ático,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/1315.jpg,148467,153406,4939,2855.1346153846152,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_34.jpg
100035,Piso en venta en Loranca,Madrid,Pinto,80,2,2,4,True,True,False,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/7141.jpg,204854,234245,29391,2560.675,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_35.jpg
100036,Piso en venta en Loranca,Madrid,Parla,169,5,2,1,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/5091.jpg,396294,414250,17956,2344.9349112426034,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_36.jpg
100037,Piso en venta en Sur,Madrid,Parla,94,4,3,4,True,True,False,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/9948.jpg,231679,244951,13272,2464.6702127659573,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_37.jpg
100038,Piso en venta en El Bercial,Madrid,Parla,151,3,3,2,True,False,False,Central,A reformar,https://img-portal-inmo.com/fotos/5339.jpg,336250,356495,20245,2226.82119205298,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_38.jpg
100039,Piso en venta en El Bercial,Madrid,Alcorcón,53,2,2,5,False,False,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/1034.jpg,104759,111066,6307,1976.5849056603774,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_39.jpg
100040,Piso en venta en Norte,Madrid,Parla,111,3,3,Bajo,True,True,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/5663.jpg,265253,290825,25572,2389.6666666666665,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_40.jpg
100041,Piso en venta en Sur,Madrid,Alcorcón,97,1,1,3,False,True,True,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/9641.jpg,220987,230397,9410,2278.216494845361,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_41.jpg
100042,Piso en venta en La Fortuna,Madrid,Alcorcón,126,3,1,Bajo,True,False,True,Central,A reformar,https://img-portal-inmo.com/fotos/5027.jpg,268590,304986,36396,2131.6666666666665,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_42.jpg
100043,Piso en venta en Sur,Madrid,Leganés,154,2,3,3,True,True,True,Central,Buen estado,https://img-portal-inmo.com/fotos/9535.jpg,344068,373630,29562,2234.2077922077924,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_43.jpg
100044,Piso en venta en La Fortuna,Madrid,Leganés,97,1,2,Ático,True,False,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/1653.jpg,232013,262635,30622,2391.8865979381444,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_44.jpg
100045,Piso en venta en Norte,Madrid,Alcorcón,158,1,3,4,True,True,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/7303.jpg,365784,416118,50334,2315.0886075949365,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_45.jpg
100046,Piso en venta en Centro,Madrid,Pinto,107,1,1,2,True,True,False,No tiene,Obra nueva,https://img-portal-inmo.com/fotos/9132.jpg,244231,272392,28161,2282.532710280374,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_46.jpg
100047,Piso en venta en El Bercial,Madrid,Fuenlabrada,63,4,2,3,True,True,True,Central,A reformar,https://img-portal-inmo.com/fotos/3985.jpg,142176,147372,5196,2256.7619047619046,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_47.jpg
