,precio_actual
4622,393964
409,249773
4338,150455
8119,261416
3026,291725
576,328477
2619,376787
2564,160647
7807,277258
713,234634
4665,344925
3316,245693
1087,105318
11323,314157
2335,361834
4341,154408
9854,280214
8201,143066
1454,161693
4972,143646
4205,259041
5561,215748
881,205036
1710,362593
4653,243324
2963,246260
8724,147741
5113,203296
2981,383818
2245,314972
8866,341906
3325,305336
10812,368752
6323,270235
6062,339676
7197,139292
11934,175330
3838,389268
10595,310550
1597,300829
12363,232401
1097,182648
394,191138
9015,333336
4400,298140
2820,194308
11263,270168
1180,192929
7532,220350
1911,194677
8608,237372
11510,124159
2214,246894
11733,150938
5171,295290
7757,379247
3894,208278
8168,204646
11899,321089
5533,211007
5035,285163
4687,156574
11024,386515
9992,302862
12212,372621
1691,238263
10776,234038
123,214821
7180,349410
1952,215429
11788,335167
6259,171608
3528,225453
2874,309662
4619,192836
9426,136365
4929,135394
3297,187074
4540,328241
11859,147190
11586,335215
10419,229645
5851,342525
8398,319817
5030,154936
4999,375632
8257,205014
1891,257480
6386,290025
7337,202755
295,167732
3881,205825
2882,201614
6724,331560
6535,238109
1785,235386
9598,226324
286,270391
9124,121733
10827,393397
1758,308049
10750,349321
1284,160318
6649,130310
8776,183477
10549,230498
5707,168793
7615,419736
8419,301869
10296,212845
7627,289862
9180,295069
549,278299
12401,161039
11646,324327
10056,293181
5294,139026
4392,129782
5684,132391
2798,290302
9221,349867
2586,249910
7707,327423
11300,343589
11890,346439
9632,128404
5816,351616
6422,141386
5282,177398
2377,394064
6922,365774
9660,192486
4863,303358
4721,253232
6147,143598
11918,155171
3334,364994
11463,104727
5871,217759
4923,294525
6956,154297
3488,232562
2585,299427
1303,267176
2861,175671
12441,176929
3529,132120
10254,140387
4868,388040
5210,363363
8526,339859
6962,261163
11538,314377
8012,118784
8538,284702
1613,294286
9819,272438
6200,349214
3002,371042
11278,170699
2943,204276
5676,215961
3021,247306
4786,239535
12135,336536
467,374917
5281,154109
6717,327545
11220,85000
6022,369998
8283,335679
106,207079
9797,367370
2638,204559
5636,412230
11032,261343
3948,347241
5716,381068
411,170213
6306,277259
7283,298115
10562,85000
9271,321868
7303,168746
9913,350077
3941,182433
3349,360297
12124,173414
9217,275942
6134,269590
6203,389243
4475,270625
9871,223733
4634,133689
1862,198273
7591,193642
9428,220192
7962,307916
2360,239164
8250,199228
2133,240775
8039,370664
2406,218109
29,300558
10045,246749
9052,382362
3562,205527
4810,252807
568,171113
9965,441541
5872,214405
1245,292687
3955,199430
10338,343575
1458,127155
11077,402575
1835,379948
316,340030
108,144031
8842,336152
3570,172693
2980,123995
8618,341285
11508,286392
9387,176918
5038,156497
7556,346101
12227,303630
7741,272967
8014,308998
9142,174632
2678,156584
10054,394379
7893,286343
2715,126049
4722,122003
3468,267091
9462,378474
10199,295246
3872,232763
3000,208271
6733,370533
7498,292083
973,114357
2998,403683
5140,287529
9792,258602
6117,333502
6005,318115
5267,337105
6421,200125
1374,241002
11337,323268
7664,291085
4149,217521
10617,256397
7481,337290
9696,266052
10,351646
10183,187252
6058,200162
6377,283092
1426,126857
11173,194790
6389,228024
9966,245926
718,335041
6045,265574
5688,372679
6177,378901
11556,257907
735,285542
5151,322716
11424,263620
323,291171
7924,294773
2140,249678
11633,379059
8532,256838
909,345993
2627,139097
4900,280777
496,351341
9532,373700
12341,262019
11858,177312
8582,362639
7467,297936
1206,235235
12176,248731
8768,312554
5714,277562
10200,289228
1195,311051
6822,277769
5886,196464
7168,320055
8849,123089
9849,127587
7405,227470
9707,306124
288,111314
3065,284261
7276,146204
10127,156698
6334,215236
8414,338168
8742,335817
388,366860
836,182068
9195,366601
3707,271914
280,272943
3942,307107
6594,252386
11285,385418
6650,294309
7403,276386
1112,362248
9243,170404
10751,179455
10452,231540
10260,167674
5230,87287
9182,342010
8518,137999
267,213228
4767,215866
1598,374567
8249,275872
11243,306054
6161,222282
11257,345358
10013,236480
5303,170776
8062,430166
5354,346156
4299,384017
7120,183047
1379,395408
9877,330177
9842,283569
416,269636
8027,165369
7441,369670
1962,307422
620,219288
1703,292994
10491,200337
6857,169225
3649,329438
11750,236296
9511,110188
5025,292697
6518,126805
2516,291303
6840,348905
9593,266102
5329,230912
1190,186765
9509,248759
7854,291360
4467,322317
5492,134499
5875,322591
12298,260445
6830,294708
1506,291547
7928,201479
10822,362296
7983,355318
4412,382332
10532,284068
12289,140633
12188,281593
794,367708
730,239907
7754,354374
9229,220646
5382,195537
6918,166169
10298,316733
2626,357304
8487,365426
4663,376423
1745,259906
10918,345401
6847,215846
4884,370945
12195,122361
2709,398856
9294,157271
6836,318494
2675,184315
1199,304763
10073,203664
6329,165726
3207,315482
10234,242356
9073,389681
11255,378093
1889,335385
5720,131026
3928,142805
12104,368474
32,139497
10602,389224
11038,120053
1336,128541
3429,167600
10695,238313
6611,128820
9536,368451
10582,299598
11992,286180
8188,208925
5517,344776
5859,286431
4549,358387
4441,238357
10009,157877
745,311555
11560,128567
1486,340554
8833,255396
605,389723
1741,291649
10304,193941
1533,382944
2651,140382
8323,210917
3105,385478
4342,281859
1821,197034
3842,289758
1330,186229
4015,352300
957,200243
2110,304474
4520,310820
10286,325431
10890,324048
12285,165829
1660,349777
