id_anuncio,titulo_anuncio,provincia,municipio,tamano_m2,habitaciones,banos,planta,tiene_ascensor,tiene_terraza,tiene_trastero,calefaccion,estado,url_foto,precio_actual,precio_anterior,bajada_precio
100000,Piso en venta en El Bercial,Madrid,Pinto,164,5,3,Bajo,False,True,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/3359.jpg,329975,341310,11335
100001,Piso en venta en La Fortuna,Madrid,Leganés,107,2,3,5,False,False,False,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/9592.jpg,250656,262736,12080
100002,Piso en venta en Sur,Madrid,Móstoles,116,4,3,5,False,True,True,Central,Buen estado,https://img-portal-inmo.com/fotos/8689.jpg,250263,283769,33506
100003,Piso en venta en La Fortuna,Madrid,Leganés,175,1,1,3,True,True,False,Central,Buen estado,https://img-portal-inmo.com/fotos/6499.jpg,418130,460247,42117
100004,Piso en venta en La Fortuna,Madrid,Leganés,57,3,3,5,True,True,False,No tiene,Buen estado,https://img-portal-inmo.com/fotos/5551.jpg,166931,181855,14924
100005,Piso en venta en Centro,Madrid,Alcorcón,96,3,3,6,True,False,True,Central,Obra nueva,https://img-portal-inmo.com/fotos/1776.jpg,217064,221595,4531
100006,Piso en venta en Sur,Madrid,Leganés,106,1,1,3,True,True,False,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/8710.jpg,279562,293875,14313
100007,Piso en venta en Sur,Madrid,Leganés,163,1,1,2,True,False,True,No tiene,Buen estado,https://img-portal-inmo.com/fotos/2321.jpg,390161,409068,18907
100008,Piso en venta en Sur,Madrid,Móstoles,153,5,2,3,False,False,True,Central,A reformar,https://img-portal-inmo.com/fotos/8784.jpg,330393,331676,1283
100009,Piso en venta en La Fortuna,Madrid,Leganés,52,1,3,Bajo,True,False,False,No tiene,A reformar,https://img-portal-inmo.com/fotos/6829.jpg,102137,116375,14238
100010,Piso en venta en El Bercial,Madrid,Fuenlabrada,139,2,2,2,True,False,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/9525.jpg,351646,369138,17492
100011,Piso en venta en Sur,Madrid,Pinto,169,5,2,6,False,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/6510.jpg,361369,366934,5565
100012,Piso en venta en Loranca,Madrid,Móstoles,97,4,1,5,True,False,True,Central,Buen estado,https://img-portal-inmo.com/fotos/9537.jpg,235166,252590,17424
100013,Piso en venta en La Fortuna,Madrid,Pinto,107,5,1,Bajo,True,False,True,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/3184.jpg,239945,256094,16149
100014,Piso en venta en Centro,Madrid,Getafe,139,5,2,3,True,False,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/3698.jpg,314253,354322,40069
100015,Piso en venta en El Bercial,Madrid,Móstoles,125,3,2,3,False,True,True,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/7304.jpg,286173,320506,34333
100016,Piso en venta en Loranca,Madrid,Leganés,101,1,2,4,False,True,False,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/8440.jpg,207928,232306,24378
100017,Piso en venta en Loranca,Madrid,Fuenlabrada,111,2,2,1,False,False,False,Eléctrica,Obra nueva,https://img-portal-inmo.com/fotos/5081.jpg,241886,275711,33825
100018,Piso en venta en Centro,Madrid,Pinto,90,1,3,6,False,True,True,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/2111.jpg,235357,248579,13222
100019,Piso en venta en El Bercial,Madrid,Móstoles,138,3,2,6,True,True,True,Central,Buen estado,https://img-portal-inmo.com/fotos/6329.jpg,337020,366820,29800
100020,Piso en venta en La Fortuna,Madrid,Fuenlabrada,157,1,1,5,True,False,True,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/5210.jpg,342275,376650,34375
